1, 1000, 35.274, 0.001, 2.20462
0.001, 1, 0.035274, 0.000001, 0.00220462
0.0283495, 28.3495, 1,  0.00002834, 0.0625
1000, 1000000, 35274, 1, 2204.62
0.453592, 453.592, 16, 0.000453592, 1
